skill,course_title,provider,url,level,duration_hours,price_type,quality_score,tags
Python,AI Python for Beginners,DeepLearning.AI,https://learn.deeplearning.ai/courses/ai-python-for-beginners/information,beginner,4,free,0.93,"python,ai,beginner"
Python,Python for Everybody,Coursera,https://www.coursera.org/specializations/python,beginner,40,free_trial,0.89,"python,programming,foundations"
SQL,SQLBolt,SQLBolt,https://sqlbolt.com/,beginner,6,free,0.88,"sql,database,practice"
SQL,Databases and SQL for Data Science with Python,Coursera,https://www.coursera.org/learn/sql-data-science,beginner,20,free_trial,0.84,"sql,data,python"
Statistics,Intro to Statistics,Khan Academy,https://www.khanacademy.org/math/statistics-probability,beginner,20,free,0.90,"statistics,probability,math"
Machine Learning,Machine Learning Crash Course,Google,https://developers.google.com/machine-learning/crash-course,beginner,15,free,0.94,"ml,supervised,foundations"
Machine Learning,Machine Learning Specialization,DeepLearning.AI and Stanford,https://www.coursera.org/specializations/machine-learning-introduction,beginner,60,paid,0.92,"ml,supervised,unsupervised"
Deep Learning,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,intermediate,30,free,0.95,"deep learning,pytorch,vision,nlp"
MLOps,Machine Learning Engineering for Production (MLOps),DeepLearning.AI,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,intermediate,80,paid,0.91,"mlops,production,pipelines"
Docker,Docker for the Absolute Beginner,Udemy,https://www.udemy.com/course/learn-docker/,beginner,8,paid,0.82,"docker,containers,devops"
Deployment,Machine Learning in Production,DeepLearning.AI,https://www.coursera.org/learn/introduction-to-machine-learning-in-production,intermediate,12,paid,0.90,"deployment,mlops,production"
APIs,Postman API Fundamentals Student Expert,Postman,https://academy.postman.com/path/postman-api-fundamentals-student-expert,beginner,4,free,0.86,"api,rest,testing"
Pandas,Introduction to Pandas,Kaggle,https://www.kaggle.com/learn/pandas,beginner,4,free,0.89,"pandas,dataframe,data analysis"
Data Visualization,Data Visualization with Python,IBM/Coursera,https://www.coursera.org/learn/python-for-data-visualization,beginner,20,free_trial,0.84,"visualization,matplotlib,seaborn"
Data Analysis,Google Data Analytics Professional Certificate,Coursera,https://www.coursera.org/professional-certificates/google-data-analytics,beginner,120,paid,0.88,"analytics,sql,r,tableau"
Git,Introduction to Git and GitHub,Coursera,https://www.coursera.org/learn/introduction-git-github,beginner,10,free_trial,0.87,"git,github,version control"
Linux,Introduction to Linux,The Linux Foundation,https://training.linuxfoundation.org/training/introduction-to-linux/,beginner,60,free,0.86,"linux,cli,systems"
Cloud,Google Cloud Skills Boost: Machine Learning Engineer,Google Cloud,https://www.cloudskillsboost.google/paths/17,intermediate,40,free_trial,0.85,"cloud,gcp,mlops"
